Violation Code,average_violations
38,39772
21,39737
14,26926
37,23539
20,17223
71,16487
46,14695
40,14485
7,13873
19,9238
69,8377
16,7037
70,6817
31,5585
5,4120
47,3725
17,3203
36,2859
42,2736
74,2581
50,2537
78,2438
51,1942
48,1741
84,1697
98,1258
67,1074
82,1017
45,979
13,970
10,919
85,901
53,827
83,823
24,745
66,715
18,649
77,595
64,493
68,398
61,394
27,382
60,371
39,368
72,299
9,269
80,229
35,192
75,188
62,171
99,168
73,155
41,144
89,125
11,124
23,86
8,79
91,65
49,63
94,59
63,45
52,37
79,25
34,24
4,23
43,17
95,15
59,13
32,12
55,11
25,11
6,8
92,7
65,6
56,6
97,6
15,6
26,5
90,5
81,4
57,4
96,4
12,3
93,3
22,3
58,2
76,2
88,2
86,1
2,1
44,1
54,1
28,1
